"","player_name","inch_height","wt"
"210","Will Grier",74,217
"211","Dwayne Haskins",75,231
"212","Daniel Jones",77,221
"213","Drew Lock",76,228
"214","Trace McSorley",72,202
"215","Gardner Minshew",73,225
"216","Kyler Murray",70,207
"217","Easton Stick",73,224
"218","Jarrett Stidham",74,218
"219","Clayton Thorson",76,222
"220","Joe Burrow",75,221
"221","Jacob Eason",78,231
"222","Jake Fromm",74,219
"223","Justin Herbert",78,236
"224","Jalen Hurts",73,222
"225","Jordan Love",76,224
"226","Jake Luton",78,224
"227","Cole McDonald",75,215
"228","James Morgan",76,229
"229","Nate Stanley",76,235
"230","Tua Tagovailoa",72,217
"231","Ian Book",72,211
"232","Sam Ehlinger",73,220
"233","Justin Fields",74,227
"234","Mac Jones",74,217
"235","Trey Lance",75,224
"236","Trevor Lawrence",77,213
"237","Davis Mills",75,217
"238","Kyle Trask",77,236
"239","Zach Wilson",74,214
